,ncessch,bias_own_ses_hs,med_family_income,rent_pctage_household_income,num_white,num_black,num_native,num_asian,num_hispanic,num_ell,commute_total,commute_less_than_10_min,commute_10to14min,commute_15to19min,commute_20to24min,commute_25to29min,commute_30to34min,commute_35to44min,commute_45to59min,commute_60_more_min,poverty_status_total,poverty_status_income_below_poverty_lvl,poverty_status_fam_households,poverty_status_married_fam,poverty_status_other_fam,snap_total,snap_with_cash_public_assist,snap_no_cash_public_assist,poverty_inc_ratio_total,poverty_inc_ratio_under.5,poverty_inc_ratio_.50to.99,poverty_inc_ratio_1.00to1.24,poverty_inc_ratio_1.25to1.49,poverty_inc_ratio_1.50to1.84,poverty_inc_ratio_1.85to1.99,poverty_inc_ratio_2.00over,pct_commute_less_than_29,pct_commute_greater_than_30,pct_snap_no_cash_public_assist,pct_snap_with_cash_public_assist,pct_poverty_inc_ratio_185_under,nces_id,ap_courses,honors_classes,gs_equity_rating,gs_overall_rating,gs_test_rating,gs_progress_rating,high_school,clustering_hs,volunteering_rate_hs,pct_married_couple_families,pct_single_parent_families,pct_english_lang,pct_non_english_lang,pct_homeowners,pct_non_homeowners,pct_less_than_hs_edu,pct_hs_degree,pct_associates_degree,pct_bachelors_degree,pct_post_grad_higher_degree
0,010000700251,0.018139999,,,10.613848202396804,3.748335552596538,0.06657789613848203,1.2942743009320905,1.189081225033289,2.271637816245007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010000700251,26.0,0.0,6.0,8.0,,,010000700251,0.42956001,0.050330002,,,,,,,,,,,
1,010000701456,0.026210001,,,7.526148969889065,2.1743264659270998,0.03486529318541997,0.7527733755942948,0.9413629160063391,1.2916006339144215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010000701456,26.0,0.0,7.0,9.0,,,010000701456,0.48835,0.05232,,,,,,,,,,,
2,010027000024,-0.0063900002,,,6.68997668997669,0.585081585081585,0.0675990675990676,0.05128205128205128,1.0314685314685315,0.46386946386946387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010027000024,15.0,0.0,4.0,3.0,,,010027000024,0.38733,0.053539999,,,,,,,,,,,
3,010027000100,0.062650003,,,7.266094420600858,0.5783261802575107,0.027896995708154508,0.08798283261802575,0.5836909871244635,0.29218573046432617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010027000100,16.0,0.0,3.0,6.0,,,010027000100,0.44473001,0.062279999,,,,,,,,,,,
4,010027001759,0.059700001,,,12.168564920273349,1.9749430523917995,0.05694760820045558,0.2255125284738041,1.0933940774487472,0.7767653758542141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010027001759,14.0,0.0,7.0,8.0,,,010027001759,0.45484999,0.051130001,,,,,,,,,,,
5,010027001784,0.024909999,,,4.965539661898569,0.7054616384915474,0.05851755526657997,0.0494148244473342,1.2126137841352407,0.570221066319896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010027001784,,,2.0,2.0,,,010027001784,0.35251001,0.041839998,,,,,,,,,,,
6,010027001810,0.01509,,,2.97751873438801,0.9975020815986678,0.07327227310574522,0.02164862614487927,0.12656119900083265,0.16819317235636969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010027001810,7.0,0.0,1.0,2.0,,,010027001810,0.41258001,0.028829999,,,,,,,,,,,
7,010027002073,-0.05322,,,9.319148936170214,0.725531914893617,0.04468085106382979,0.24680851063829787,0.6234042553191489,0.3382978723404255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010027002073,17.0,0.0,6.0,8.0,,,010027002073,0.51515001,0.04958,,,,,,,,,,,
8,010039000141,-0.046080001,,,0.9835651074589128,8.747155499367889,0.0316055625790139,0.05309734513274336,0.8672566371681416,0.7070572569906791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010039000141,6.0,0.0,1.0,1.0,,,010039000141,0.37455001,0.01822,,,,,,,,,,,
9,010039000164,-0.062969998,,,0.06183820415078357,2.710292249047014,0.013553578991952562,0.0016941973739940702,0.1490893689114782,0.07524487978628673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010039000164,,,1.0,1.0,,,010039000164,0.32745999,0.02227,,,,,,,,,,,
